label,1,2,3,4,5
1) Perfil profissional:,Não trabalho ou trabalho há menos de 1 ano,Trabalho na área administrativa há mais de 1 ano,Trabalho na área administrativa há mais de 2 anos,Não trabalho na área administrativa atualmente,
2) Cargo que ocupa:,Não se aplica,Ocupo cargo administrativo em nível de decisão,"Ocupo cargo administrativo, mas não em nível de decisão",,
3) Formação acadêmica:,Fiz o ensino médio em escola pública,Fiz o ensino médio em escola particular,,,
4) Pós-graduação:,Não se aplica,Pretendo fazer pós-graduação na área de gestão,Pretendo fazer pós-graduação em outra área,Pretendo fazer outro curso de graduação,
5) O curso de administração foi:,Muito proveitoso para minha vida profissional,Pouco proveitoso para minha vida profissional,Não alterou minha vida profissional,,
6) O ENADE foi fácil,Concordo plenamente,Concordo parcialmente,Não sei responder,Discordo parcialmente,Discordo totalmente
7) O ENADE testou meus conhecimentos na área de administração ,Concordo plenamente,Concordo parcialmente,Não sei responder,Discordo parcialmente,Discordo totalmente
8) A prova do ENADE foi como o esperado por mim,Concordo plenamente,Concordo parcialmente,Não sei responder,Discordo parcialmente,Discordo totalmente
9) a prova do ENADE foi muito longa,Concordo plenamente,Concordo parcialmente,Não sei responder,Discordo parcialmente,Discordo totalmente
10) Os temas tratados no ENADE me eram familiares,Concordo plenamente,Concordo parcialmente,Não sei responder,Discordo parcialmente,Discordo totalmente
